cgpa,dsa,communication,ml,webdev,cloud,cybersecurity,projects,internships,career
6.88,4,9,7,10,8,10,17,1,Web Developer
9.29,8,10,4,9,7,8,20,0,Web Developer
9.32,3,2,4,6,9,8,7,5,Cybersecurity Analyst
5.98,1,10,8,8,10,5,7,0,Web Developer
5.25,8,8,1,6,9,9,3,1,Cybersecurity Analyst
7.87,10,7,4,6,1,5,8,5,Data Scientist
7.57,6,9,4,9,3,8,18,5,Web Developer
9.54,4,9,9,3,4,10,5,2,Cybersecurity Analyst
8.14,2,4,6,10,9,7,8,2,Cloud Engineer
5.67,7,3,6,8,9,9,20,2,Cybersecurity Analyst
6.64,5,2,4,9,6,2,5,3,Data Scientist
9.42,1,4,5,7,8,1,0,3,Cloud Engineer
9.35,9,5,5,7,4,5,10,1,Software Developer
8.04,1,4,8,4,7,4,1,3,Data Scientist
7.55,9,4,2,3,8,9,4,5,Cybersecurity Analyst
6.63,5,9,7,8,5,2,4,2,Web Developer
9.11,8,10,5,7,4,9,14,2,Cybersecurity Analyst
5.89,2,8,4,5,4,10,9,4,Cybersecurity Analyst
8.78,2,8,10,10,6,2,14,0,Web Developer
7.03,9,9,5,3,8,2,17,4,Cloud Engineer
8.24,5,7,9,7,5,3,18,2,Data Scientist
8.17,8,10,10,9,3,7,6,2,ML Engineer
6.37,6,4,9,10,9,7,1,3,Cloud Engineer
7.4,1,1,7,7,2,3,11,1,Data Scientist
7.29,2,10,3,7,10,6,12,1,Cloud Engineer
6.08,5,10,9,3,7,6,3,2,Data Scientist
8.33,1,2,2,2,1,9,13,0,Cybersecurity Analyst
9.83,7,8,7,1,2,3,13,3,Mobile App Developer
6.14,10,7,2,9,2,4,4,4,Web Developer
6.69,7,4,3,5,2,9,8,5,Cybersecurity Analyst
7.97,7,7,7,10,10,8,14,4,Web Developer
5.05,4,4,2,8,2,7,2,1,Data Scientist
9.57,7,4,1,10,4,6,20,1,Data Scientist
5.7,3,4,2,8,2,1,13,0,Data Scientist
6.17,9,6,4,10,4,3,12,4,Web Developer
9.28,2,2,5,8,10,5,11,5,Cloud Engineer
7.09,10,9,10,6,4,4,16,1,ML Engineer
9.02,8,10,3,6,2,4,14,3,Software Developer
6.13,4,8,9,5,9,3,15,1,Cloud Engineer
7.09,6,4,2,8,10,8,12,1,Cybersecurity Analyst
7.36,4,8,8,9,4,8,5,0,Web Developer
8.6,3,6,4,5,10,10,0,2,Cybersecurity Analyst
7.64,4,10,5,4,4,7,10,5,Mobile App Developer
5.24,8,10,10,1,9,1,16,0,ML Engineer
9.99,5,6,2,3,8,7,3,0,Cloud Engineer
7.41,8,9,7,8,4,3,12,0,Web Developer
6.37,8,5,2,10,1,9,15,1,Cybersecurity Analyst
8.3,9,8,9,10,3,6,10,2,ML Engineer
5.07,7,4,4,3,8,7,9,2,Cloud Engineer
7.56,3,4,4,6,10,4,15,4,Cloud Engineer
5.48,2,3,6,8,7,6,15,5,DevOps Engineer
9.89,9,1,3,9,7,6,7,5,Software Developer
5.42,3,7,5,2,4,1,12,3,Data Scientist
5.71,6,10,8,8,8,9,14,3,Web Developer
5.17,8,8,1,7,1,5,11,2,Mobile App Developer
9.52,4,9,3,6,8,2,5,4,Cloud Engineer
5.59,1,6,3,8,6,3,9,0,Web Developer
6.6,4,8,6,5,8,1,7,4,Cloud Engineer
8.66,3,5,5,7,5,5,17,3,Data Scientist
9.41,7,7,6,1,5,7,18,1,Data Scientist
6.67,2,8,4,8,6,2,8,3,Web Developer
8.23,4,8,5,10,2,8,19,5,Web Developer
5.98,1,2,2,6,4,4,4,0,Data Scientist
7.45,9,2,10,7,4,4,4,5,ML Engineer
9.65,5,8,7,7,2,5,13,4,Mobile App Developer
7.34,9,3,3,9,10,8,2,2,Cybersecurity Analyst
6.73,8,9,6,4,8,6,13,3,Cloud Engineer
9.27,6,6,1,2,5,7,19,2,Data Scientist
9.29,2,7,3,4,6,3,14,5,Data Scientist
6.67,1,5,1,10,6,9,3,1,Cybersecurity Analyst
7.07,1,10,6,7,5,7,7,0,Data Scientist
8.4,4,9,1,10,5,6,1,4,Web Developer
9.89,2,6,4,3,9,6,4,5,Cloud Engineer
7.73,6,7,9,5,9,2,13,2,Cloud Engineer
5.06,10,3,4,9,9,2,19,1,Cloud Engineer
8.56,3,6,7,6,10,1,20,0,Cloud Engineer
8.78,10,5,6,1,4,6,6,3,Software Developer
